"점수","긴급도","회사","회사코드","헤드라인","부제(N1)","방향(GOOD/BAD/MIXED)","출고리스크","가치방향","산업트렌드대비","스토리각도","추가확인필요","IR질문후보","교차검증","보도여부","보도수","단서유형","severity","정보격차","사실매칭","비교페어_과거","비교페어_최신","비교id","단서id","출처경로","단서생성일","N1검증일"
"","THIS_WEEK","주식회사 드림인사이트","01492688","드림인사이트, 신규 법인 설립…해외 진출·콘텐츠 강화","","GOOD","LOW","TRANSFORMATION","ALIGNED","드림인사이트가 신규 법인 설립을 통해 브랜드 빌딩, 엔터테인먼트 사업을 강화하고 해외 시장 진출을 모색합니다. 이는 기존 광고 대행업의 한계를 넘어선 매출 다각화와 기업 가치 재평가로 이어질 가능성이 있습니다.","각 신규 법인(라르츠엑스, 유니콘트로피엔터테인먼트, 드림인사이트 싱가포르 법인)의 구체적인 사업 목표, 초기 투자 규모, 예상 성과 및 해외 시장 진출 전략에 대한 추가 정보 확인이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9817","3893","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","주식회사 소마젠","01442115","소마젠, 사업보고서서 경영진·최대주주 변동 내역 삭제 '의혹'","","BAD","LOW","RISK_WARNING","ALIGNED","소마젠이 최근 사업보고서에서 경영진 및 최대주주 변동 내역을 삭제한 사실이 확인되었습니다. 이는 기업의 투명성과 지배구조에 대한 의문을 제기하며, 투자자들의 불안감을 증폭시킬 수 있습니다.","해당 정보가 사업보고서에서 삭제된 구체적인 사유 및 삭제 시점, 그리고 현재 경영진 및 최대주주 현황에 대한 소마젠 IR팀의 공식 입장을 확인해야 합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9792","3883","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","주식회사 그린리소스","01370863","그린리소스, 특정 고객사 의존도 50% 돌파 '위험 신호'","","BAD","LOW","RISK_WARNING","ALIGNED","그린리소스의 특정 고객사 H에 대한 매출 의존도가 50%를 넘어섰습니다. 이는 향후 계약 지속성 및 리스크 관리에 대한 우려를 증폭시키며, 회사의 안정적인 성장에 제동이 걸릴 수 있음을 시사합니다.","고객사 H와의 현재 계약 관계 및 향후 계약 갱신 가능성에 대한 구체적인 정보","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9740","3861","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_MONTH","탑머티리얼","01360875","탑머티리얼, 미국 법인 설립…북미 시장 공략 본격화","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","탑머티리얼이 미국 현지 법인을 설립하며 북미 시장 공략을 본격화합니다. 이는 향후 북미 시장 수주 확대와 직접적으로 연결되는 핵심 전략으로, 회사의 성장 잠재력을 보여주는 중요한 지표입니다.","미국 법인의 구체적인 설립 시점 및 초기 투자 규모, 현지 채용 계획 등 상세 정보 확인 필요","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9730","3855","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","이지스","01211889","이지스, 특정 고객 매출 비중 32% '쏠림' 심화","","BAD","LOW","RISK_WARNING","ALIGNED","이지스가 특정 고객사에 대한 매출 의존도가 급증하며 향후 실적 안정성에 대한 우려가 제기됩니다. 이는 회사의 성장 전략과 재무 건전성에 대한 면밀한 검토를 요구합니다.","고객 1, 2, 3이 구체적으로 어떤 기업인지, 이들 고객과의 관계 변화(신규 계약, 계약 규모 확대 등)에 대한 추가 정보 확인이 필요합니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9008","3810","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","샘씨엔에스","01199727","샘씨엔에스, AI 훈풍 타고 역대급 호황 전망","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","샘씨엔에스가 AI 산업 성장과 HBM 시장 확대에 힘입어 2025-2026년 역대 최대 호황기를 맞이할 것으로 전망된다. 이는 반도체 업황 침체기였던 과거와 달리 고사양 세라믹 기판 수요 증가로 이어져 실적 턴어라운드를 견인할 것으로 기대된다.","AI 및 HBM 시장 성장 전망의 구체적인 근거가 되는 IDC Semiconductor Market Outlook, TrendForce 등의 자료를 직접 확인하여 수치 및 전망의 신뢰성을 검증할 필요가 있습니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","8990","3803","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","비츠로넥스텍","01194607","비츠로넥스텍, 27건 신규 특허 확보…우주·원자력 사업 날개 단다","","GOOD","LOW","TRANSFORMATION","ALIGNED","비츠로넥스텍이 확보한 27건의 신규 특허는 단순한 기술력 과시를 넘어 미래 성장 동력 확보에 대한 구체적인 증거다. 특히 우주 발사체 엔진, KSTAR 핵융합 발전 등 국가 핵심 사업과의 연관성은 향후 사업 확장 가능성을 시사한다.","27건의 특허가 구체적으로 어떤 기술 분야에 집중되어 있는지, 그리고 각 특허가 현재 진행 중이거나 향후 계획 중인 사업과 어느 정도 연관성이 있는지 추가적인 확인이 필요하다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","8985","3800","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260324 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_MONTH","스튜디오드래곤(주)","01168684","스튜디오드래곤, CJ ENM 의존도 낮추고 해외 판로 확대","","MIXED","LOW","TRANSFORMATION","ALIGNED","스튜디오드래곤이 최대 매출처인 CJ ENM 의존도를 낮추고 글로벌 OTT 및 다양한 플랫폼으로 공급 채널을 확대하며 사업 구조 재편에 나선다. 이는 장기적으로 기업 가치 재평가(Re-rating)의 기반을 마련할 것으로 기대된다.","과거 사업보고서에서 CJ ENM 매출 비중 수치 확인, 최신 1분기 보고서에서 해당 수치(25.XX%)의 정확성 재확인.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8966","3791","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","팸텍주식회사","01146220","팸텍, R&D 투자 2배↑…AI·모빌리티 신사업 '올인'","","GOOD","LOW","TRANSFORMATION","ALIGNED","팸텍이 신규 장비 개발을 위해 연구개발비를 두 배 이상 늘리며 미래 성장 동력 확보에 나섰습니다. AI 반도체 및 모빌리티 자동화 시장을 겨냥한 이번 전략 변화가 회사의 중장기 실적 개선으로 이어질지 주목됩니다.","연구개발비 증가의 구체적인 금액 및 이전 분기 대비 증가율, 신규 제품 출시 예정 시점 및 예상 매출 규모","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8951","3786","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","피엔티엠에스","01144569","피엔티엠에스, 2차전지 매출 '제로'…편광필름 설비로 '턴어라운드'?","","BAD","LOW","TRANSFORMATION","CONTRARIAN","피엔티엠에스가 2차전지 사업 부진으로 매출 공백을 겪고 있는 가운데, 편광필름 연신 설비에 매출이 집중되며 사업 구조 변화를 맞고 있습니다. 이는 단기 실적 변동성 확대와 수익성 저하 우려를 낳는 동시에, 특정 고객사 의존도 심화라는 중장기적 리스크 요인으로 작용할 수 있습니다.","편광필름 연신 설비의 주요 고객사가 누구인지, 해당 고객사와의 계약 관계는 안정적인지 확인이 필요합니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8949","3784","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260513 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","뱅크웨어글로벌(주)","01138595","뱅크웨어글로벌, 특허 2건 추가 확보…금융 플랫폼 기술 강화","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","뱅크웨어글로벌이 최근 2건의 신규 특허를 확보하며 금융 플랫폼 소프트웨어 기술 경쟁력을 강화했습니다. 이는 회사의 차세대 금융 플랫폼 시장에서의 기술적 우위를 공고히 하는 데 기여할 것으로 보입니다.","특허 등록 건수 증가 외에, 이번에 확보한 신규 특허 2건의 구체적인 내용과 적용 계획에 대한 추가 정보가 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","8943","3782","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","주식회사 화승엔터프라이즈","01128613","화승엔터프라이즈, 1분기 영업이익 적자 전환 '경고등'","","BAD","LOW","RISK_WARNING","ALIGNED","연간 흑자 기조를 유지하던 화승엔터프라이즈가 1분기 만에 적자로 돌아섰습니다. 이는 아디다스향 단일 매출 구조의 한계와 원재료 구매 방식의 구조적 문제점을 시사하며, 향후 수익성 회복에 대한 우려를 낳고 있습니다.","영업이익 적자 전환의 구체적인 규모와 주요 원인(예: 원가 상승, 판매량 감소, 환율 변동 등)에 대한 추가적인 정량적 데이터 확인이 필요합니다. 또한, 아디다스와의 계약 조건 및 향후 수익성 개선을 위한 회사의 구체적인 대응 전략에 대한 IR 담당자 인터뷰가 필수적입니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8931","3775","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260312 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","본느","01098792","본느 자회사 적자 전환, 실적 악화 우려","","BAD","LOW","RISK_WARNING","CONTRARIAN","본느의 핵심 사업인 ODM 외 자회사들의 실적 부진이 심화되고 있습니다. 이는 연결 재무제표에 부담을 주며 본업의 수익성까지 위협할 수 있다는 점에서 주목해야 합니다.","큐브릭코퍼레이션 및 아토세이프의 구체적인 실적 감소 규모 및 적자 전환/확대 원인, 본느 본사의 ODM 사업 수익성 현황","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8906","3763","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","(주)라파스","01058101","라파스, 중국서 골다공증·알츠하이머 패치제 특허 확보","","GOOD","LOW","TRANSFORMATION","ALIGNED","라파스가 중국에서 골다공증 및 알츠하이머 치료 패치제 관련 신규 특허를 확보하며 기술적 진입장벽을 강화했습니다. 이는 회사의 경피약물전달체계 플랫폼 기술의 글로벌 경쟁력을 입증하는 사례로, 향후 기술 이전 및 라이선스 아웃 협상에 긍정적인 영향을 미칠 것으로 기대됩니다.","중국 특허(ZL202180022017.X)의 구체적인 권리 범위 및 등록일 확인, 향후 파이프라인별 임상 개발 진행 상황 및 파트너십 현황 추가 확인.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","8869","3750","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:38","2026-06-08 19:53:21"
"","THIS_WEEK","HC보광산업","00568461","HC보광산업, 순차입금 급증…유동성 위기 경고음","","BAD","LOW","RISK_WARNING","ALIGNED","HC보광산업의 재무 건전성이 급격히 악화되고 있습니다. 순차입금 비율 상승과 현금성 자산 감소는 단기 유동성 위기 가능성을 시사하며, 투자자와 채권자에게 중요한 위험 신호입니다.","순차입금 비율 급증 및 현금성 자산 감소의 구체적인 수치와 원인에 대한 추가 확인이 필요합니다. 또한, 회사의 향후 자금 조달 계획이나 비상 계획에 대한 IR 담당자의 입장을 들어봐야 합니다.","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9379","3653","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:10","2026-06-08 19:53:21"
"","THIS_WEEK","SK디앤디(주)","00508344","SK디앤디, 수주잔고 6배 급증…재무 건전성↑","","GOOD","LOW","TRANSFORMATION","ALIGNED","SK디앤디가 분기 만에 수주잔고를 6배 이상 늘리며 재무 건전성 개선 신호를 보였습니다. 이는 부동산 개발 및 운영 사업의 안정화와 수익성 개선에 대한 기대로 이어질 수 있습니다.","부동산 개발/운영 사업 부문의 영업손실이 지속되고 있는데, 수주잔고 증대가 실제 수익성 개선으로 이어질 구체적인 계획이나 전망에 대한 추가 확인이 필요합니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9293","3632","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260317 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:10","2026-06-08 19:53:21"
"","THIS_WEEK","진양화학","00347734","진양화학, 특정 고객사 의존도 89% 돌파 '위험 신호'","","BAD","LOW","RISK_WARNING","ALIGNED","진양화학의 매출이 특정 고객사에 89% 이상 집중되면서 수익 구조의 불안정성이 심화되고 있습니다. 이는 해당 고객사의 경영 환경 변화에 따라 진양화학의 실적이 크게 흔들릴 수 있다는 점을 시사합니다.","해당 고객사가 구체적으로 어떤 기업인지, 그리고 진양화학과의 계약 관계는 어떠한지에 대한 추가 확인이 필요합니다.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8721","3566","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260303 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 02:31:09","2026-06-08 19:53:21"
