"점수","긴급도","회사","회사코드","헤드라인","부제(N1)","방향(GOOD/BAD/MIXED)","출고리스크","가치방향","산업트렌드대비","스토리각도","추가확인필요","IR질문후보","교차검증","보도여부","보도수","단서유형","severity","정보격차","사실매칭","비교페어_과거","비교페어_최신","비교id","단서id","출처경로","단서생성일","N1검증일"
"","THIS_WEEK","영흥","00141477","영흥, 일본 종속회사 청산…사업 재편 신호탄","","MIXED","LOW","TRANSFORMATION","ALIGNED","영흥이 일본 종속회사 청산을 결정하며 사업 구조 재편에 나섰습니다. 이는 글로벌 경기 변동에 취약한 사업 구조를 최적화하고 미래 성장 동력 확보를 위한 전략적 움직임으로 해석됩니다.","일본 종속회사(YOUNG WIRE JAPAN)의 구체적인 청산 사유 및 예상되는 일회성 비용 규모, 그리고 확보된 재원의 구체적인 활용 계획에 대한 추가 확인이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","738","4015","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","(주)대구백화점","00108977","대구백화점, 재무 안정 위해 자산 매각 결정","","BAD","LOW","","","82년 전통의 대구백화점이 경영난 타개를 위해 자산 매각을 결정했다. 이번 결정이 회사의 재무 구조 개선과 미래 사업 방향에 어떤 영향을 미칠지 주목된다.","자산 매각 대상 및 규모, 구체적인 매각 시점","","NEED_MORE","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","167","3943","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:52","2026-06-15 09:17:48"
"","THIS_WEEK","(주)이노진","01419135","이노진, 기술이전 계약 정보 삭제…사업 불확실성 증폭","","BAD","LOW","RISK_WARNING","ALIGNED","이노진이 과거 공시했던 기술이전 계약 관련 정보가 사업보고서에서 사라지면서 투자자들의 불안감이 커지고 있습니다. 이는 회사의 미래 성장 동력과 사업 전략의 신뢰성에 대한 의문을 제기합니다.","고려대학교산학협력단과의 기술이전 계약이 실제로 파기되었는지, 혹은 다른 이유로 삭제된 것인지에 대한 명확한 설명이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9781","3875","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260317 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","디와이디","01089378","디와이디, 바이오 사업 중단…화장품 집중 '체질 개선'","","GOOD","LOW","TRANSFORMATION","ALIGNED","디와이디가 미래 성장 동력으로 추진했던 바이오 사업을 중단하고 핵심 사업인 화장품에 집중하기로 했다. 이는 재무구조 개선과 수익성 강화라는 두 마리 토끼를 잡기 위한 전략적 선택으로 풀이된다.","바이오 사업 철수와 관련된 구체적인 시점, 철수 결정 배경, 관련 인력 및 자산 처리 방안, 화장품 사업 집중을 위한 구체적인 투자 계획 및 마케팅 전략 등 추가적인 정보 확인이 필요하다.","","NEED_MORE","exclusive","","strategy_change","5","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","7584","3746","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260430 / filing_date_prior:20260324 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 18:15:37","2026-06-08 19:53:21"
"","THIS_WEEK","대영씨엔이(주)","01011182","대영씨엔이, 저가 수주 경쟁에 수익성 '빨간불'","","BAD","LOW","RISK_WARNING","ALIGNED","대영씨엔이가 속한 SCR촉매 시장의 경쟁 심화로 인한 수익성 악화 우려를 심층 분석합니다. 투자자와 시장 참여자들에게 잠재적 리스크를 경고하고 향후 사업 전략의 중요성을 강조합니다.","저가 수주 경쟁 심화에 대한 경영진의 구체적인 언급이 사업보고서 어디에 명시되어 있는지 확인 필요. 경쟁사들의 동향 및 시장 점유율 변화 데이터 확보.","","","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","4125","4269","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260331 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:54","2026-06-15 09:17:48"
"","THIS_WEEK","웰킵스하이텍","00260611","웰킵스하이텍, 현금성 자산 급감…유동성 위기 '경고등'","","BAD","LOW","","","웰킵스하이텍의 재무 건전성이 급격히 악화되며 유동성 위기 가능성이 제기됩니다. 이는 회사의 단기적인 운영 및 투자 능력에 심각한 영향을 미칠 수 있습니다.","현금성 자산 급감 및 순부채비율 상승의 구체적인 수치와 원인, 그리고 이에 대한 회사 측의 공식적인 해명 또는 대응 계획을 확인해야 합니다.","","CONFIRMED","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1840","4106","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250514 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","에스지신성건설주식회사","00173661","에스지신성건설, 원가 압박에 수익성 '급락' 경고","","BAD","LOW","RISK_WARNING","ALIGNED","에스지신성건설이 지속되는 공사 원가 상승으로 인해 수익성 악화라는 심각한 경영 위기에 직면했습니다. 이는 회사의 단기 유동성 압박과 중장기적 신용도 하락으로 이어질 수 있는 중대한 리스크입니다.","K-3 교차 검증 필요: 최근 분기별 실적 발표, 구체적인 원가 상승 요인(자재, 인건비 등), 이에 대한 회사의 대응 방안 및 향후 전망에 대한 추가적인 정보 확인이 필요합니다.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1298","4067","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260331 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","한국내화(주)","00160205","한국내화, 수익성 악화 사업부 손상차손 인식 '구조조정 신호탄?'","","BAD","LOW","","","한국내화가 특정 사업부의 수익성 악화를 공식 인정하며 대규모 손상차손을 인식했습니다. 이는 해당 사업부의 향후 구조조정이나 사업 전략 변화 가능성을 시사하는 중요한 신호로, 회사의 미래 성장 동력에 대한 의문을 제기합니다.","손상차손이 인식된 구체적인 사업부(분체, 조업정비)의 현재 재무 상태 및 향후 구조조정 또는 사업 전략 변화에 대한 회사 측의 공식적인 입장 확인.","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1085","4050","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","KB오토시스(주)","00157539","KB오토시스, 금리 인상에 이자 부담 '껑충'","","BAD","LOW","RISK_WARNING","ALIGNED","KB오토시스의 순부채비율 상승과 이자 비용 민감도 증가는 재무 건전성에 대한 우려를 낳고 있습니다. 이는 향후 투자 여력 위축으로 이어질 수 있어 주목됩니다.","순부채비율 상승의 구체적인 수치 및 추이, 이자 비용 민감도 증가의 정확한 규모와 원인 분석이 필요합니다. 또한, 회사의 향후 재무 개선 계획에 대한 확인이 필요합니다.","","NEED_MORE","exclusive","","risk_alert","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","1006","4041","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","피에스텍(주)","00155638","피에스텍, 가나 법인 설립…해외 시장 공략 본격화","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","피에스텍이 국내 시장을 넘어 가나 법인 설립을 통해 아프리카 시장 진출을 본격화합니다. 이는 기존 한전 중심의 사업 구조에서 벗어나 글로벌 스마트그리드 기업으로 도약하려는 회사의 중요한 전략 변화입니다.","가나 법인의 구체적인 사업 계획, 초기 투자 규모, 예상되는 매출 기여도, 현지 파트너십 여부","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","974","4038","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","(주)현대케피코","00152455","현대케피코, 1분기 흑자에서 연간 554억 적자 전환 '어닝 쇼크'","","BAD","LOW","RISK_WARNING","ALIGNED","현대케피코가 1분기 흑자에서 연간 대규모 적자로 전환하며 시장에 충격을 주고 있습니다. 자동차 부품 산업의 불황 속에서 현대케피코의 수익성 악화 원인과 향후 전망을 심층 분석합니다.","연간 대규모 영업적자 전환의 구체적인 원인(비용 증가 또는 매출 부진)에 대한 추가적인 사업보고서 내용 확인 및 IR 담당자 인터뷰 필요","","NEED_MORE","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","917","4026","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260331 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","(주)서산","00130408","(주)서산, 건설 경기 침체에 수익성 '빨간불'","","BAD","LOW","","","서산은 건설 경기 침체 속에서 시장 점유율을 높였지만, 이는 치열한 출혈 경쟁의 결과일 수 있습니다. 경쟁 심화가 수익성 악화로 이어질 가능성을 분석합니다.","출혈 경쟁으로 인한 구체적인 영업이익률 하락 전망치 또는 과거 유사 사례 분석","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","561","3991","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260316 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:53","2026-06-15 09:17:48"
"","THIS_WEEK","삼아제약(주)","00126788","삼아제약, 1분기 수익성 '급락'…호흡기계 부진 여파","","BAD","LOW","","","삼아제약의 1분기 실적이 전년 동기 대비 큰 폭으로 하락하며 수익성 악화에 대한 우려가 커지고 있습니다. 주력 사업인 호흡기계 부문의 매출 감소가 실적 부진의 주요 원인으로 지목됩니다.","호흡기계 환자 감소 외에 실적 부진에 영향을 미친 다른 요인은 없는지, 향후 실적 개선을 위한 구체적인 계획은 무엇인지 확인 필요.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2025_q1","506","3984","primary_report:2025 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20250515 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-09 10:07:52","2026-06-15 09:17:48"
"","THIS_WEEK","(주)씨메스","01588189","(주)씨메스, 물류 매출 비중 81% '쏠림'…리스크 확대","","BAD","LOW","RISK_WARNING","ALIGNED","씨메스의 물류 솔루션 매출 의존도가 급증하며 특정 고객사에 대한 사업적 취약성이 노출되었습니다. 이는 향후 실적 변동성을 키울 수 있는 잠재적 리스크 요인입니다.","물류 솔루션 매출이 특정 고객사에 집중되어 있는지, 해당 고객사의 투자 계획 변화 가능성은 없는지 확인 필요.","","CONFIRMED","exclusive","","numeric_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","8139","3917","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260319 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-07 09:40:39","2026-06-10 14:25:00"
"","THIS_WEEK","비스토스","01506848","비스토스, 신규 의료기기 인증 속도전 돌입","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","비스토스가 주요 의료기기의 인증 일정을 대폭 앞당기며 시장 선점 경쟁에 나섰습니다. 이는 신규 제품 출시 모멘텀을 통한 투자 심리 개선과 향후 외형 성장에 대한 기대로 이어질 수 있습니다.","인증 예정 시기가 앞당겨진 구체적인 제품명과 기존 예정 시기, 변경된 예정 시기, 그리고 이로 인한 예상 시장 점유율 변화에 대한 추가 확인이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9830","3900","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260514 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-10 14:25:00"
"","THIS_MONTH","(주)유디엠텍","01498576","유디엠텍, 美 특허 확보로 북미 시장 공략 박차","","GOOD","LOW","TRANSFORMATION","ALIGNED","유디엠텍이 확보한 미국 특허는 북미 시장 진출의 교두보가 될 전망입니다. 이번 특허 등록이 회사의 글로벌 성장 전략에 어떤 구체적인 동력이 될지 분석합니다.","미국 특허 등록 번호 46번의 구체적인 기술 내용과 상업적 활용 계획에 대한 회사 측의 추가 설명이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9827","3898","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260320 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","큐리옥스바이오시스템즈(주)","01498974","큐리옥스, 단일세포 분석 특허로 기술 장벽 강화","","GOOD","LOW","POSITIVE_GROWTH","ALIGNED","큐리옥스바이오시스템즈가 신규 특허 확보를 통해 단일세포 분석 분야에서의 기술 경쟁력을 한층 강화했습니다. 이는 회사의 성장 동력 확보와 시장 내 입지 강화에 긍정적인 영향을 미칠 전망입니다.","특허 번호 및 등록 국가(미국) 외에 구체적인 특허 내용 및 기술적 효용성에 대한 추가 정보 확인 필요. 또한, 해당 특허가 기존 제품 라인업(LW HT 1000, LW HT 2000)과 어떻게 연계되는지 구체적인 설명 필요.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","STRONG","2025_annual","2026_q1","9825","3897","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260323 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
"","THIS_WEEK","주식회사 드림인사이트","01492688","드림인사이트, 신규 법인 설립…해외 진출·콘텐츠 강화","","GOOD","LOW","TRANSFORMATION","ALIGNED","드림인사이트가 신규 법인 설립을 통해 브랜드 빌딩, 엔터테인먼트 사업을 강화하고 해외 시장 진출을 모색합니다. 이는 기존 광고 대행업의 한계를 넘어선 매출 다각화와 기업 가치 재평가로 이어질 가능성이 있습니다.","각 신규 법인(라르츠엑스, 유니콘트로피엔터테인먼트, 드림인사이트 싱가포르 법인)의 구체적인 사업 목표, 초기 투자 규모, 예상 성과 및 해외 시장 진출 전략에 대한 추가 정보 확인이 필요합니다.","","NEED_MORE","exclusive","","strategy_change","4","HIGH_CONFIRMED","EXACT","2025_annual","2026_q1","9817","3893","primary_report:2026 1분기보고서 / comparison_against:2024년 사업보고서 / filing_date_recent:20260515 / filing_date_prior:20260318 / section:III. 사업의 내용 — 1. 사업의 개요 / 2. 주요 제품·매출 / 3. 원재료 / 4. 생산·설비 / 5. 위험관리 / t","2026-06-06 21:21:05","2026-06-08 19:53:21"
